Date;fer;vac;tourn;tempMoy;tempMax;tempMin;wind;rain;nbPlay;open;nbCov
08/06/2017;0;0;0;19,16;26,67;11,65;5,16;0;0;True;123
09/06/2017;0;0;0;18,615;22,07;15,16;4,72;1;16;True;153
10/06/2017;0;0;0;19,8;26,82;12,78;3,85;0;86;True;202
11/06/2017;0;0;0;21,565;29,23;13,9;4,14;0;0;True;245
12/06/2017;0;0;0;17,35;21,26;13,44;4,43;0;0;True;123
13/06/2017;0;0;0;16,54;23,59;9,49;3,6;0;0;False;0
14/06/2017;0;0;0;21,655;28,54;14,77;3,55;0;19;True;115
15/06/2017;0;0;0;23,09;28,06;18,12;4,63;0;0;True;146
16/06/2017;0;0;0;17,805;22,86;12,75;4,93;0;25;True;153
17/06/2017;0;0;0;19,455;26,65;12,26;3,51;0;41;True;257
18/06/2017;0;0;0;23,11;29,16;17,06;5,03;0;136;True;225
19/06/2017;0;0;0;24,385;32,91;15,86;3,03;0;101;False;0
20/06/2017;0;0;0;25,43;33,74;17,12;3,15;0;0;True;104
21/06/2017;0;0;0;27,75;36,14;19,36;3,07;0;0;True;102
22/06/2017;0;0;0;27,29;34,17;20,41;4,78;0;0;True;121
23/06/2017;0;0;0;20,06;24;16,12;4,46;0;31;True;136
24/06/2017;0;0;0;19,44;25,11;13,77;4,73;0;328;True;38
25/06/2017;0;0;0;21,79;26,19;17,39;5,03;0;0;True;238
26/06/2017;0;0;0;21,785;28,09;15,48;3,45;0;0;False;0
27/06/2017;0;0;0;21,505;24,28;18,73;2,33;1;4;True;112
28/06/2017;0;0;0;19,395;22,46;16,33;4,7;1;0;True;82
29/06/2017;0;0;0;17,315;20,67;13,96;4,77;0;34;True;174
30/06/2017;0;0;0;16,195;18,6;13,79;3,97;1;24;True;101
01/07/2017;0;0;0;16,975;20,04;13,91;4,81;1;24;True;82
02/07/2017;0;0;0;17,79;22,75;12,83;3,7;0;41;True;122
03/07/2017;0;0;0;18,46;24,67;12,25;4,34;0;0;False;0
04/07/2017;0;0;0;20,17;28,04;12,3;2,19;0;0;True;112
05/07/2017;0;0;0;23,62;31,53;15,71;3,34;0;30;True;86
06/07/2017;0;0;0;26,975;34,5;19,45;4,81;0;56;True;140
07/07/2017;0;0;0;26,365;33,05;19,68;3,25;0;56;True;130
08/07/2017;0;1;0;23,835;30,29;17,38;4,09;0;0;True;127
